Gene	C	Z	Pval	FDR
YIPF5	0.0033000786056093336	3.3686880476173315	0.0003776342844145295	0.000551559324850822
NSD2	0.003604748779633671	3.3631433208755035	0.000385301726934687	0.0005622106910525588
CD274	0.0015729099876697506	3.3417595465114887	0.00041624572116173074	0.0006067721882824063
MDC1	0.003083039659033454	3.3204424026344346	0.00044937451048330114	0.000654428898762089
NUDCD1	0.0039410227418890656	3.3138173421609545	0.000460158032659665	0.0006694830737046533
LRBA	0.0036067991846037276	3.3012840358967073	0.00048121698216144416	0.000699443288025355
TNFRSF10B	0.0034910118711070377	3.299538175752958	0.00048422027296411984	0.0007031272114677443
WDR5	0.004083850663347903	3.290400396113242	0.0005002245686893033	0.0007256642679245212
FLOT2	0.0032496811006925944	3.2716875536531784	0.0005345382616608542	0.0007746931328418178
PSMD10	0.0035997800871694296	3.267387637010756	0.00054272472357733	0.0007857983449478716
PSIP1	0.0030557908813390613	3.2454326397189925	0.0005863615271418502	0.0008481603574858007
CRIPT	0.0037202596920086033	3.240289966842668	0.0005970410213665383	0.0008627760424371942
ECHS1	0.003912611558821446	3.237452562830175	0.0006030099410188249	0.0008705629562350696
NCOR1	0.002839047461622549	3.232742011849322	0.0006130411702551216	0.0008841939955602715
SDHB	0.0037752685447031984	3.225419108692739	0.0006289418845438576	0.000906011767975746
PRPSAP1	0.003039070008597414	3.2252215092554963	0.0006293761748204849	0.000906011767975746
HECTD4	0.002670961201413882	3.2054489214842774	0.0006742598931039988	0.000969693038979864
GSK3B	0.0037857336973562785	3.2032713390194862	0.0006793794708034888	0.0009761199293153575
KLF16	0.0030884663650118855	3.1802032878593876	0.0007358588435463525	0.0010562567132244294
ING1	0.0028658602381526842	3.171454833404992	0.0007583872643738022	0.0010875534383945537
TMPO	0.003375802000043958	3.165244710064755	0.0007747628556421674	0.0011099754378827613
DDX6	0.002936292992782401	3.1585639459807062	0.0007927426097590507	0.0011346506819070383
ASCC3	0.002815507784141015	3.154785863126878	0.0008030797220067266	0.001148350412783689
ATRX	0.002478996942306477	3.151726754960298	0.0008115404141361007	0.0011593434487658582
PDXDC1	0.0030899593885617203	3.1442378449684694	0.0008326001832686479	0.0011882971216964529
SND1	0.003104555070677279	3.1428283846390173	0.0008366195491333187	0.001192898596672983
MGMT	0.003798180228311979	3.1395049672167255	0.0008461677274206688	0.001205367133077876
PPP2R3A	0.0037282328653920204	3.1292551521874854	0.0008762502949910129	0.0012470355241807583
BCL2L11	0.0040876444586721876	3.112683727125436	0.0009269728894145367	0.0013179709328168768
CTTN	0.003326828665649336	3.112052656221428	0.00092895678415764	0.0013195408865875567
EMD	0.0030387177931797773	3.1090597367126414	0.0009384188372985116	0.0013317202043025235
MCM3	0.0033449717672790966	3.0960223611945366	0.0009806778490117876	0.0013903750222284323
UPF1	0.003541669961427357	3.0881855543001104	0.0010069134335589725	0.001426222993709593
AMFR	0.002596412509149403	3.0730466943256713	0.001059426651758792	0.001499188658149234
ASXL1	0.003811234435494074	3.0684036979543703	0.0010760283937586899	0.0015212465510254804
RBM15	0.003373396024701059	3.054289714462048	0.0011279705358553278	0.0015931787229595026
SF3A1	0.0025688981865957562	3.053013711525475	0.001132777931082934	0.0015979454697047574
RNF167	0.0034808825690708944	3.052828842812509	0.0011334759865105747	0.0015979454697047574
SLC25A1	0.00340149913121553	3.0483314336934892	0.0011505798715946152	0.001620535030414951
KDM4A	0.0032970523971339832	3.0442337629969236	0.001166369012093066	0.0016412321933767344
DIS3L2	0.0025173215035559733	3.0428376096599514	0.0011717938255795465	0.0016473202796338517
CCDC50	0.003008004899049341	3.0414691637610662	0.0011771333921937837	0.0016532772362272243
TMEM209	0.004003082122139139	3.03869610678203	0.001188022015232306	0.0016670093759106259
LATS1	0.002270308812523144	3.037216767902292	0.0011938683979062633	0.0016736472867844813
COMT	0.002515535870259144	3.034579978992916	0.001204354402935652	0.0016867708724588963
POLR2C	0.0028644346854987037	3.0142816855187613	0.0012879426139395488	0.0018021585083109358
GIPC1	0.0036613755655171944	3.0068286268646873	0.0013199427047304482	0.0018452134735281196
SSBP3	0.00277721096275144	2.999244437466435	0.0013532503678399502	0.0018900144802233942
NEK6	0.002814248744352939	2.9865908899239355	0.0014105348274264132	0.0019681881312926695
FCER2	0.0016442876047758743	2.9718966494024732	0.0014798314727635037	0.002062962090283695
CDC37	0.0031423794301461564	2.97145070969608	0.0014819822366137793	0.0020640421122754588
VPS37B	0.003102914954975456	2.965998425997633	0.0015085101679853288	0.002099040122428565
PGD	0.0032631128454266864	2.9567556261135977	0.001554472046026274	0.002160989869359973
GAB2	0.00334608672990223	2.9543504586052203	0.0015666398235166929	0.0021758886437731845
EIF2AK4	0.0024954344292555546	2.939112505170345	0.001645767848997433	0.0022836741660463918
FDPS	0.003335293858510484	2.9376937078821586	0.001653317644751423	0.002292030006587
PAK1	0.002603292968587362	2.9312856162926892	0.001687811337299081	0.002337688832824212
PRR13	0.0030926867718026048	2.917037804552145	0.0017668646990259983	0.0024449234765119903
PRPF3	0.0025209556955103716	2.9064476577046827	0.001827790262670309	0.0025268989806501965
FLII	0.0026145362336051354	2.9047019406510954	0.0018380149040069622	0.0025386946187941468
CDK7	0.0034369174113635386	2.900075312669887	0.0018653650482277672	0.0025741008025222177
SNRNP200	0.0030939910925623184	2.87676810214298	0.002008853669384716	0.002769559286835546
RAB11A	0.0025818138341051153	2.869531429100467	0.002055402382816568	0.002831132758700507
HMGCR	0.0035866761276104075	2.861101473423492	0.002110859520360137	0.0029048525509543168
ROCK1	0.002586465709202686	2.8525088186357395	0.0021687804442701917	0.0029818246254860563
MPDU1	0.0030416800541227004	2.84604641472148	0.0022132871129343858	0.0030402295507340467
TMEM39A	0.003500373618511352	2.834012958372251	0.00229837339848558	0.0031542178387267794
VAMP3	0.0029529789427423583	2.8328160658068198	0.002306996345747634	0.003163157695266409
RBL2	0.002470893791517774	2.8283933975339774	0.002339113943063527	0.003204265675429489
ZFYVE21	0.002186380813185815	2.8248109519400626	0.002365425973097584	0.0032373530653707805
TMEM33	0.0034782666471398103	2.822202994266732	0.0023847488615310847	0.0032608234205074088
MFF	0.0030168838138640826	2.8166735809181596	0.0024261907096531084	0.0033144681825862136
TRIM27	0.002653786668870018	2.810171143730687	0.0024757581063466053	0.0033791056956505076
BRIX1	0.003217219846223412	2.8069043730972787	0.0025010044051103583	0.0034104605524232163
UBTF	0.002564929775881724	2.800808873387676	0.002548734977965139	0.003469305734195637
PNPLA2	0.0027690632514928027	2.8008027574328427	0.002548783279389061	0.003469305734195637
BCL2L2	0.0027316952296798334	2.7886729462809523	0.002646224060589731	0.003598672793186398
PRKAA1	0.002540001837882122	2.785932083252598	0.0026687026675428697	0.003625954711335421
