dataset,sample_id,sample_panel,x,y,class
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3170,3178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3314,3178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3387,3053,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3459,3178,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3531,3053,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3603,3179,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3676,3053,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3747,3179,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3820,3053,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3892,3179,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,3964,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4036,3179,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4109,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4181,3180,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4253,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4325,3180,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4397,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4469,3180,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4542,3054,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4614,3180,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4686,3055,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4758,3180,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4831,3055,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4903,3181,background
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium | 10x Visium,4975,3055,background
