dataset,dataset_label,sample_id,sample_short,n_spots,metric,value
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,1534,mregDC~TLS 12CK,0.60065329429544
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,1534,mregDC~TLS imprint,0.546023296853889
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,1534,mregDC~antigen-presentation/MHC-II,0.381183798742368
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,1534,TLS~antigen-presentation/MHC-II,0.442755563512547
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,1534,TLS/mregDC co-high O/E,3.88092427053466
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,4116,mregDC~TLS integrated,0.161744382696343
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,4116,mregDC~TLS 12CK,0.167271415886725
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,4116,mregDC~TLS imprint,0.154985326634183
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,4116,mregDC~antigen-presentation/MHC-II,0.146669224937262
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,4116,TLS~antigen-presentation/MHC-II,0.66290998978081
GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,4116,TLS/mregDC co-high O/E,4.12220755961919
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,4592,mregDC~TLS integrated,-0.0141140686132811
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,4592,mregDC~TLS 12CK,0.0406638541276526
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,4592,mregDC~TLS imprint,-0.0240060579308803
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,4592,mregDC~antigen-presentation/MHC-II,0.0925353063212441
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,4592,TLS~antigen-presentation/MHC-II,0.158751625536197
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,4592,TLS/mregDC co-high O/E,1.28037807183365
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,4992,mregDC~TLS integrated,0.136021540891176
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,4992,mregDC~TLS 12CK,0.160717638019687
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,4992,mregDC~TLS imprint,0.10955217066272
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,4992,mregDC~antigen-presentation/MHC-II,0.185930923891377
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,4992,TLS~antigen-presentation/MHC-II,0.216793338609111
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,4992,TLS/mregDC co-high O/E,1.9968
GSE288483,GSE288483,GSM8768679_Pt1-1,Pt1-1,1534,mregDC~TLS integrated,0.450558842046107
GSE288483,GSE288483,GSM8768679_Pt1-1,Pt1-1,1534,mregDC~TLS 12CK,0.432407159012916
GSE288483,GSE288483,GSM8768679_Pt1-1,Pt1-1,1534,mregDC~TLS imprint,0.407946522647447
GSE288483,GSE288483,GSM8768679_Pt1-1,Pt1-1,1534,mregDC~antigen-presentation/MHC-II,0.335255440107459
GSE288483,GSE288483,GSM8768679_Pt1-1,Pt1-1,1534,TLS~antigen-presentation/MHC-II,0.431000742748833
GSE288483,GSE288483,GSM8768679_Pt1-1,Pt1-1,1534,TLS/mregDC co-high O/E,4.01028841288582
GSE288483,GSE288483,GSM8768680_Pt1-2,Pt1-2,1131,mregDC~TLS integrated,0.395524773490892
GSE288483,GSE288483,GSM8768680_Pt1-2,Pt1-2,1131,mregDC~TLS 12CK,0.589726890009796
GSE288483,GSE288483,GSM8768680_Pt1-2,Pt1-2,1131,mregDC~TLS imprint,0.16177741816216
GSE288483,GSE288483,GSM8768680_Pt1-2,Pt1-2,1131,mregDC~antigen-presentation/MHC-II,0.465118947220211
GSE288483,GSE288483,GSM8768680_Pt1-2,Pt1-2,1131,TLS~antigen-presentation/MHC-II,0.350849334730028
GSE288483,GSE288483,GSM8768680_Pt1-2,Pt1-2,1131,TLS/mregDC co-high O/E,3.56809787626962
GSE288483,GSE288483,GSM8768681_Pt1-3,Pt1-3,2002,mregDC~TLS integrated,0.328532094239618
GSE288483,GSE288483,GSM8768681_Pt1-3,Pt1-3,2002,mregDC~TLS 12CK,0.308028390922316
GSE288483,GSE288483,GSM8768681_Pt1-3,Pt1-3,2002,mregDC~TLS imprint,0.317196810728176
GSE288483,GSE288483,GSM8768681_Pt1-3,Pt1-3,2002,mregDC~antigen-presentation/MHC-II,0.242861740886139
GSE288483,GSE288483,GSM8768681_Pt1-3,Pt1-3,2002,TLS~antigen-presentation/MHC-II,0.361193265899924
GSE288483,GSE288483,GSM8768681_Pt1-3,Pt1-3,2002,TLS/mregDC co-high O/E,3.12185341946982
GSE288483,GSE288483,GSM8768682_Pt1-4,Pt1-4,1393,mregDC~TLS integrated,0.3021296939692
GSE288483,GSE288483,GSM8768682_Pt1-4,Pt1-4,1393,mregDC~TLS 12CK,0.290291192781023
