method_label	feature	clean_feature	immune_class	rho	p	n	p_adj	abs_rho
EPIC	Bcells_EPIC	Bcells	Other	0.299721879615366	3.18545103609084e-10	427	1.02863523040434e-09	0.299721879615366
xCell	Basophils_xCell	Basophils	Other	0.296931581830496	4.70329163937966e-10	427	1.48777592674255e-09	0.296931581830496
quanTIseq	Dendritic_cells_quantiseq	Dendritic_cells	APC/myeloid	-0.291095897504642	8.7419699064621e-10	427	2.71001067100325e-09	0.291095897504642
xCell	MEP_xCell	MEP	Other	-0.286553636456152	1.63036501080877e-09	427	4.95503091520313e-09	0.286553636456152
CIBERSORT	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_resting	APC/myeloid	0.277084516459645	5.77002373805154e-09	427	1.71991092191921e-08	0.277084516459645
xCell	Mast_cells_xCell	Mast_cells	T cells	0.274884558673375	7.68700197223157e-09	427	2.24808548244508e-08	0.274884558673375
CIBERSORT	T_cells_CD8_CIBERSORT	T_cells_CD8	Cytotoxic T/NK	0.270026948699323	1.43529855714586e-08	427	4.11983845106681e-08	0.270026948699323
EPIC	CAFs_EPIC	CAFs	Stromal	0.258578281393586	6.65551361531131e-08	427	1.87564474613319e-07	0.258578281393586
CIBERSORT	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_regulatory_(Tregs)	T cells	0.253067701916682	1.15434140456494e-07	427	3.19505210192082e-07	0.253067701916682
CIBERSORT_ABS	Macrophages_M0_CIBERSORT	Macrophages_M0	APC/myeloid	0.232741459239899	1.16090705961114e-06	427	3.15685253052153e-06	0.232741459239899
xCell	Smooth_muscle_xCell	Smooth_muscle	Other	-0.22341356242249	3.32030527806124e-06	427	8.87322962240504e-06	0.22341356242249
CIBERSORT_ABS	B_cells_naive_CIBERSORT	B_cells_naive	B/plasma	0.217872292474053	5.52996487630866e-06	427	1.45278738275905e-05	0.217872292474053
CIBERSORT_ABS	Monocytes_CIBERSORT	Monocytes	APC/myeloid	0.217535130749973	5.72219161318767e-06	427	1.47823283340681e-05	0.217535130749973
CIBERSORT	Neutrophils_CIBERSORT	Neutrophils	Granulocyte/mast	0.214794694273996	7.53901814176263e-06	427	1.91565215077575e-05	0.214794694273996
MCPcounter	Fibroblasts_MCPcounter	Fibroblasts	Stromal	0.210884118869799	1.16297786350945e-05	427	2.90744465877362e-05	0.210884118869799
quanTIseq	T_cells_CD4_quantiseq	T_cells_CD4	T cells	-0.203422813129172	2.27972615571873e-05	427	5.6088500656572e-05	0.203422813129172
IPS	IPS_IPS	IPS	Global score	0.201883455261884	2.63587766974541e-05	427	6.38376623141466e-05	0.201883455261884
IPS	AZ_IPS	AZ	Other	0.200458920213482	3.12537741553909e-05	427	7.33990150619028e-05	0.200458920213482
CIBERSORT	Macrophages_M0_CIBERSORT	Macrophages_M0	APC/myeloid	-0.200193982430544	3.08722511511423e-05	427	7.33990150619028e-05	0.200193982430544
CIBERSORT	B_cells_memory_CIBERSORT	B_cells_memory	B/plasma	-0.186225776618435	0.00010847988160153	427	0.000250960920122942	0.186225776618435
CIBERSORT_ABS	NK_cells_activated_CIBERSORT	NK_cells_activated	Cytotoxic T/NK	0.183514983517704	0.000137030093688173	427	0.000312348007671571	0.183514983517704
CIBERSORT	Macrophages_M2_CIBERSORT	Macrophages_M2	APC/myeloid	0.183103552471362	0.000141935396399689	427	0.000318840383216693	0.183103552471362
CIBERSORT_ABS	NK_cells_resting_CIBERSORT	NK_cells_resting	Cytotoxic T/NK	0.179364000143423	0.000194722204057319	427	0.00043117059469835	0.179364000143423
quanTIseq	Monocytes_quantiseq	Monocytes	APC/myeloid	0.16848707824737	0.000471519083400729	427	0.00102937264686075	0.16848707824737
MCPcounter	Neutrophils_MCPcounter	Neutrophils	Granulocyte/mast	0.164391589309104	0.00065897031863071	427	0.00141861665816333	0.164391589309104
xCell	Epithelial_cells_xCell	Epithelial_cells	Other	-0.149585401152621	0.00193896948014194	427	0.0041169899920822	0.149585401152621
xCell	Melanocytes_xCell	Melanocytes	Other	0.146254407327466	0.00244840919762394	427	0.00512842467069879	0.146254407327466
CIBERSORT	NK_cells_activated_CIBERSORT	NK_cells_activated	Cytotoxic T/NK	-0.146054616134219	0.00248253693163009	427	0.00513057632536886	0.146054616134219
xCell	Tregs_xCell	Tregs	T cells	0.136885237218964	0.00460194444800482	427	0.00938554459790457	0.136885237218964
