dataset,dataset_label,sample_id,sample_short,marker,available,evidence_source,nonmissing_spots_or_cells,positive_spots_or_cells,note
GSE211956,GSE211956,GSM6506112_SP3,SP3,HLA-DPB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,CD74,True,coverage_table+spot_expression_column,923.0,912.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,LAMP3,True,coverage_table+spot_expression_column,923.0,82.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,CCR7,True,coverage_table+spot_expression_column,923.0,23.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,CD40,True,coverage_table+spot_expression_column,923.0,281.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,CD80,True,coverage_table+spot_expression_column,923.0,4.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,CD86,True,coverage_table+spot_expression_column,923.0,52.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,CD274,True,coverage_table+spot_expression_column,923.0,43.0,
GSE211956,GSE211956,GSM6506112_SP3,SP3,PDCD1LG2,True,coverage_table+spot_expression_column,923.0,17.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,ITGAX,True,coverage_table+spot_expression_column,1751.0,78.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE211956,GSE211956,GSM6506110_SP1,SP1,HLA-DRA,True,coverage_table+spot_expression_column,1751.0,1231.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,HLA-DRB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,HLA-DRB5,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,HLA-DQA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,HLA-DQB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,HLA-DPA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,HLA-DPB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,CD74,True,coverage_table+spot_expression_column,1751.0,1615.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,LAMP3,True,coverage_table+spot_expression_column,1751.0,214.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,CCR7,True,coverage_table+spot_expression_column,1751.0,16.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,CD40,True,coverage_table+spot_expression_column,1751.0,160.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,CD80,True,coverage_table+spot_expression_column,1751.0,10.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,CD86,True,coverage_table+spot_expression_column,1751.0,56.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,CD274,True,coverage_table+spot_expression_column,1751.0,38.0,
GSE211956,GSE211956,GSM6506110_SP1,SP1,PDCD1LG2,True,coverage_table+spot_expression_column,1751.0,15.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,ITGAX,True,coverage_table+spot_expression_column,2129.0,129.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DRA,True,coverage_table+spot_expression_column,2129.0,1684.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DRB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DRB5,True,coverage_table+spot_expression_column,0.0,0.0,
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DQA1,True,coverage_table+spot_expression_column,0.0,0.0,
