dataset,sample_id,signature,n_requested,n_available,available_genes,coverage_fraction,sample_short,legacy_signature_label,signature_source,coverage_note
GSE274657,GSM8454234_Patient_2,TLS_spatial_imprint_overlap,28,23,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;CCL19;CCL21;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;XBP1;SSR4,0.821428571428571,Patient_2,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454234_Patient_2,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,Patient_2,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454234_Patient_2,AP_MHCII,13,5,CD74;TAP2;TAP1;B2M;CIITA,0.384615384615385,Patient_2,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454234_Patient_2,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,Patient_2,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454234_Patient_2,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,Patient_2,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454235_Patient_8,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,Patient_8,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454235_Patient_8,TLS_spatial_imprint_overlap,28,23,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;CCL19;CCL21;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4;CD79A;XBP1;SSR4,0.821428571428571,Patient_8,TLS_29_imprint,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454235_Patient_8,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1.0,Patient_8,mregDC,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454235_Patient_8,AP_MHCII,13,5,CD74;TAP2;TAP1;B2M;CIITA,0.384615384615385,Patient_8,AP_MHCII,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454235_Patient_8,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1.0,Patient_8,B_cell_TLS,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454235_Patient_8,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1.0,Patient_8,T_cell_zone,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
GSE274657,GSM8454236_Patient_16,TLS_12CK,12,12,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL3;CCL4,1.0,Patient_16,TLS_12CK,existing scored spatial signature,Coverage reported by original multi-sample spatial scoring script.
