distance_bin,distance_mid_um,program,n_cells,median_score,mean_score,se_score,lower95,upper95
450-650,508.6000661925433,TLS_integrated,3390,-0.08838780025696436,-0.040321105338186856,0.003976153545771562,-0.04811436628789912,-0.03252784438847459
450-650,508.6000661925433,mregDC,3390,-0.08143928000128539,-0.022019822138756088,0.004559738251311898,-0.030956909111327407,-0.013082735166184769
450-650,508.6000661925433,AP_MHCII_proxy,3390,-0.17608969851103667,-0.043079333660984535,0.0077386903794064415,-0.05824716680462116,-0.027911500517347913
450-650,508.6000661925433,IFN_response,3390,-0.15740122242167007,-0.07484723567592297,0.004711938733797707,-0.08408263559416647,-0.06561183575767947
450-650,508.6000661925433,TLS_chemokine,3390,-0.1088472625413905,-0.03964483919656362,0.006009426025379201,-0.05142331420630686,-0.027866364186820387
450-650,508.6000661925433,tumor_proliferation,3390,-0.2651848279886006,-0.12167947316726188,0.00603810070255122,-0.13351415054426227,-0.10984479579026149
450-650,508.6000661925433,tumor_EMT_invasion,3390,-0.1488584423960205,-0.06030153999094484,0.006298526735622797,-0.07264665239276552,-0.04795642758912416
650-900,691.4091915341121,TLS_integrated,322,-0.08838780025696436,-0.04594260999421699,0.011398948769524783,-0.06828454958248556,-0.023600670405948414
650-900,691.4091915341121,mregDC,322,-0.08143928000128539,-0.0034690620076891455,0.01567904632602812,-0.03419999280670426,0.027261868791325965
650-900,691.4091915341121,AP_MHCII_proxy,322,-0.17608969851103667,-0.018493873593562533,0.025724131176042882,-0.06891317069860659,0.03192542351148151
650-900,691.4091915341121,IFN_response,322,-0.15740122242167007,-0.05669421855341234,0.015505449823497462,-0.08708490020746737,-0.026303536899357313
650-900,691.4091915341121,TLS_chemokine,322,-0.1088472625413905,-0.09745821852239028,0.007115338151954182,-0.11140428130022048,-0.08351215574456008
650-900,691.4091915341121,tumor_proliferation,322,-0.2651848279886006,-0.12236120652866118,0.017780556843787543,-0.15721109794248478,-0.08751131511483759
650-900,691.4091915341121,tumor_EMT_invasion,322,-0.1488584423960205,-0.039286741530443405,0.021294273103438746,-0.08102351681318334,0.002450033752296535
>900,929.814162771567,TLS_integrated,10,-0.08838780025696436,0.05599526248934574,0.1369738001488037,-0.21247338580230954,0.324463910781001
>900,929.814162771567,mregDC,10,-0.08143928000128539,-0.08143928000128539,0.0,-0.08143928000128539,-0.08143928000128539
>900,929.814162771567,AP_MHCII_proxy,10,-0.17608969851103667,-0.17608969851103667,0.0,-0.17608969851103667,-0.17608969851103667
>900,929.814162771567,IFN_response,10,-0.15740122242167007,0.14959120013493615,0.23201050646226945,-0.30514939253111195,0.6043317928009843
>900,929.814162771567,TLS_chemokine,10,-0.1088472625413905,0.23177934401033537,0.32314677250724605,-0.40158833010386685,0.8651470181245376
>900,929.814162771567,tumor_proliferation,10,-0.2651848279886006,-0.26518482798860055,1.7554167342883506e-17,-0.2651848279886006,-0.2651848279886005
>900,929.814162771567,tumor_EMT_invasion,10,-0.1488584423960205,-0.072831197739369,0.07212577720256545,-0.21419772105639728,0.06853532557765929
