dataset,sample_id,TLS_decile,n_spots,median_TLS_integrated,median_mregDC,median_antigen_presentation_MHCII,mregDC_high_fraction,antigen_presentation_MHCII_high_fraction,TLS_mregDC_cohigh_fraction
GSE274657,GSM8454234_Patient_2,5,153,-0.305575306247384,-0.21502919476114,-0.0831765602259485,0.0392156862745098,0.0261437908496732,0
GSE274657,GSM8454234_Patient_2,6,153,-0.142846004047369,-0.00576220416604477,0.0615291123253284,0.0457516339869281,0.0784313725490196,0
GSE274657,GSM8454234_Patient_2,7,153,0.0488704972417607,-0.0166786376001808,0.128385022187483,0.104575163398693,0.104575163398693,0
GSE274657,GSM8454234_Patient_2,8,153,0.289371286769832,0.178883294640331,0.177165166406557,0.143790849673203,0.124183006535948,0
GSE274657,GSM8454234_Patient_2,9,153,0.703114515399563,0.226145877574827,0.288178756733139,0.235294117647059,0.235294117647059,0.0065359477124183
GSE274657,GSM8454234_Patient_2,10,153,1.68493586553249,0.445035950587926,0.523884332082043,0.38562091503268,0.392156862745098,0.38562091503268
GSE274657,GSM8454235_Patient_8,1,412,-0.936322324016497,-0.0349245151013779,-0.822374519427709,0.00970873786407767,0.0121359223300971,0
GSE274657,GSM8454235_Patient_8,2,412,-0.833275169247138,-0.0140298758628618,-0.698327976999717,0.00970873786407767,0.00970873786407767,0
GSE274657,GSM8454235_Patient_8,3,412,-0.683341044750295,-0.0355481883841311,-0.342311785860274,0.0169902912621359,0.0145631067961165,0
GSE274657,GSM8454235_Patient_8,4,412,-0.530611407103758,-0.058757858517702,-0.20447391431745,0.0412621359223301,0.0412621359223301,0
GSE274657,GSM8454235_Patient_8,5,412,-0.358437571444573,-0.0687235291409335,-0.0414975423804202,0.0412621359223301,0.0436893203883495,0
GSE274657,GSM8454235_Patient_8,6,412,-0.142825512960278,-0.0398882703555737,0.11725335564749,0.058252427184466,0.0679611650485437,0
GSE274657,GSM8454235_Patient_8,7,411,0.119358434510742,-0.0511744294622613,0.244115744981253,0.0924574209245742,0.126520681265207,0
GSE274657,GSM8454235_Patient_8,8,411,0.415279700486602,-0.0393369918228471,0.292567161144719,0.121654501216545,0.128953771289538,0
GSE274657,GSM8454235_Patient_8,9,411,0.919563492668713,0.0160032748756206,0.436698198647021,0.197080291970803,0.211678832116788,0
GSE274657,GSM8454235_Patient_8,10,411,1.76279739440032,0.232738966134214,0.650889304420712,0.413625304136253,0.345498783454988,0.413625304136253
GSE274657,GSM8454236_Patient_16,1,460,-0.627730869197744,-0.0819063212454282,-0.230285435712626,0.0869565217391304,0.0586956521739131,0
GSE274657,GSM8454236_Patient_16,2,460,-0.537624129438172,-0.0763177420901917,-0.168140772518497,0.0891304347826087,0.0956521739130435,0
GSE274657,GSM8454236_Patient_16,3,459,-0.473195112909769,-0.0604319452654633,-0.0985707174052728,0.0849673202614379,0.0849673202614379,0
GSE274657,GSM8454236_Patient_16,4,459,-0.419499637961195,-0.0559703122684514,-0.093173407027892,0.113289760348584,0.0827886710239651,0
GSE274657,GSM8454236_Patient_16,5,459,-0.36240511974117,-0.0641929301285719,-0.0870858977857216,0.10239651416122,0.111111111111111,0
GSE274657,GSM8454236_Patient_16,6,459,-0.29767810855158,-0.0728566576531948,-0.0600461136999929,0.113289760348584,0.0762527233115468,0
GSE274657,GSM8454236_Patient_16,7,459,-0.194203406524345,-0.0860816405504634,-0.0854244218292532,0.0784313725490196,0.065359477124183,0
GSE274657,GSM8454236_Patient_16,8,459,0.0265058807370747,-0.0813137028904484,-0.0927904537022012,0.0980392156862745,0.0980392156862745,0
GSE274657,GSM8454236_Patient_16,9,459,0.55515703487034,-0.0759222041073599,0.102419814904197,0.106753812636166,0.156862745098039,0
GSE274657,GSM8454236_Patient_16,10,459,1.91366067738055,-0.074465930071893,0.119294709788394,0.128540305010893,0.172113289760349,0.128540305010893
GSE274657,GSM8454237_Patient_17,1,500,-0.823839758679162,-0.0729006050130395,-0.12372903391511,0.088,0.06,0
GSE274657,GSM8454237_Patient_17,2,500,-0.706068305225337,-0.104959612079253,-0.0476800075448251,0.056,0.048,0
GSE274657,GSM8454237_Patient_17,3,499,-0.610893246803294,-0.0746433980520535,-0.0269642776003712,0.0861723446893788,0.0581162324649299,0
GSE274657,GSM8454237_Patient_17,4,499,-0.50293360322043,-0.0580811157168958,-0.0331377623998793,0.0841683366733467,0.0681362725450902,0
GSE274657,GSM8454237_Patient_17,5,499,-0.364032288862257,-0.0733210005565215,-0.0284591109570862,0.0681362725450902,0.0641282565130261,0
GSE274657,GSM8454237_Patient_17,6,499,-0.198895045492553,-0.0551737075955177,0.01559814636496,0.0881763527054108,0.0961923847695391,0
GSE274657,GSM8454237_Patient_17,7,499,0.0249718362400309,-0.0586680556728623,0.0969107654704828,0.0961923847695391,0.0961923847695391,0
GSE274657,GSM8454237_Patient_17,8,499,0.314990190062159,-0.0416711871860598,0.0625448186608911,0.104208416833667,0.128256513026052,0
GSE274657,GSM8454237_Patient_17,9,499,0.771516163021456,-0.00567672066189783,0.180600103411497,0.130260521042084,0.146292585170341,0
GSE274657,GSM8454237_Patient_17,10,499,1.76145261341178,0.0262198474156527,0.293742411963571,0.200400801603206,0.236472945891784,0.200400801603206
GSE288483,GSM8768679_Pt1-1,1,154,-1.35404867258934,-0.248931394032224,-0.287472526337333,0.0324675324675325,0.0194805194805195,0
GSE288483,GSM8768679_Pt1-1,2,154,-0.885358751195735,-0.155806153003122,-0.188011367234788,0.038961038961039,0.0584415584415584,0
GSE288483,GSM8768679_Pt1-1,3,154,-0.613356666388117,-0.147298790197728,-0.172221777984162,0.025974025974026,0.0714285714285714,0
GSE288483,GSM8768679_Pt1-1,4,154,-0.43070533106583,-0.112209423049545,-0.109306441412945,0.038961038961039,0.012987012987013,0
GSE288483,GSM8768679_Pt1-1,5,153,-0.205619736423027,0.0116650453898252,-0.0779947829180844,0.0522875816993464,0.0849673202614379,0
GSE288483,GSM8768679_Pt1-1,6,153,0.0406864346967256,0.0101622432960155,0.00597126480984497,0.065359477124183,0.0784313725490196,0
GSE288483,GSM8768679_Pt1-1,7,153,0.246631180818975,0.00442410792501474,0.0498379912545968,0.0392156862745098,0.0784313725490196,0
GSE288483,GSM8768679_Pt1-1,8,153,0.518945192183143,0.00421454761172441,0.112547556368781,0.124183006535948,0.0849673202614379,0
GSE288483,GSM8768679_Pt1-1,9,153,0.889220513166947,0.0878565300768078,0.170564852582621,0.189542483660131,0.156862745098039,0.0065359477124183
GSE288483,GSM8768679_Pt1-1,10,153,1.64757716948556,0.308956498218465,0.364556879460325,0.398692810457516,0.359477124183007,0.398692810457516
GSE288483,GSM8768680_Pt1-2,1,114,-1.30885921899611,-0.286718653580143,-0.295988620817436,0.0087719298245614,0.0087719298245614,0
GSE288483,GSM8768680_Pt1-2,2,113,-0.926353187580186,-0.195137733516608,-0.242421131816077,0.00884955752212389,0.00884955752212389,0
GSE288483,GSM8768680_Pt1-2,3,113,-0.631846364572217,-0.0882283600972251,-0.151074505825651,0.0176991150442478,0.0442477876106195,0
GSE288483,GSM8768680_Pt1-2,4,113,-0.402385307899028,-0.093664850753583,0.00619221417036469,0.0353982300884956,0.079646017699115,0
GSE288483,GSM8768680_Pt1-2,5,113,-0.172379641507884,-0.0261493113796737,0.0660730569792727,0.079646017699115,0.106194690265487,0
GSE288483,GSM8768680_Pt1-2,6,113,0.056362493512524,-0.0449122160077546,0.0391331760660415,0.0619469026548673,0.0619469026548673,0
GSE288483,GSM8768680_Pt1-2,7,113,0.308201136053157,-0.000127778723862511,-0.0122867385900205,0.079646017699115,0.0884955752212389,0
GSE288483,GSM8768680_Pt1-2,8,113,0.537926721684525,-0.0223349056070121,0.155346611808992,0.115044247787611,0.141592920353982,0
GSE288483,GSM8768680_Pt1-2,9,113,0.885359574984626,0.169138445017175,0.255665153392648,0.247787610619469,0.168141592920354,0.00884955752212389
GSE288483,GSM8768680_Pt1-2,10,113,1.53203394264951,0.340586456390458,0.386114394221515,0.353982300884956,0.300884955752212,0.353982300884956
GSE288483,GSM8768681_Pt1-3,1,201,-0.98421894668926,-0.136765825540743,-0.225153814964014,0.0248756218905473,0.0248756218905473,0
GSE288483,GSM8768681_Pt1-3,2,201,-0.77116784516074,-0.1000289962127,-0.170917613643837,0.0248756218905473,0.0298507462686567,0
GSE288483,GSM8768681_Pt1-3,3,200,-0.609695140150893,-0.0886950303814801,-0.0749123626685155,0.07,0.045,0
GSE288483,GSM8768681_Pt1-3,4,200,-0.458334610514612,-0.109008795047049,-0.0740479205769629,0.05,0.02,0
GSE288483,GSM8768681_Pt1-3,5,200,-0.299652654062528,-0.089630993512437,-0.0439940576336313,0.05,0.07,0
GSE288483,GSM8768681_Pt1-3,6,200,-0.128106892187859,-0.0373973340444646,-0.00950577119862676,0.065,0.06,0
GSE288483,GSM8768681_Pt1-3,7,200,0.0752966264144243,0.0189480626072886,0.044190244009002,0.1,0.08,0
GSE288483,GSM8768681_Pt1-3,8,200,0.36658153814933,0.0280443760059498,0.0926411625938187,0.12,0.145,0
GSE288483,GSM8768681_Pt1-3,9,200,0.745126854217158,0.080930074531991,0.226900378460652,0.185,0.165,0
GSE288483,GSM8768681_Pt1-3,10,200,1.6889243151261,0.181365889831142,0.316292941299208,0.315,0.365,0.315
GSE288483,GSM8768682_Pt1-4,1,140,-0.799794446361557,-0.144024786224179,-0.212516782103736,0.05,0.0142857142857143,0
GSE288483,GSM8768682_Pt1-4,2,140,-0.679471523859582,-0.0942293377622972,-0.163745840225836,0.0642857142857143,0.0214285714285714,0
GSE288483,GSM8768682_Pt1-4,3,140,-0.584924412599761,-0.0928702510171742,-0.142658157683711,0.0428571428571429,0.0285714285714286,0
GSE288483,GSM8768682_Pt1-4,4,139,-0.464675439604616,-0.0777935802448849,-0.0994680986499105,0.0647482014388489,0.0719424460431655,0
GSE288483,GSM8768682_Pt1-4,5,139,-0.350643291187135,-0.0495924215485426,-0.0505160510452579,0.0503597122302158,0.0503597122302158,0
GSE288483,GSM8768682_Pt1-4,6,139,-0.186311400909538,-0.0690311306463594,-0.0487399950544016,0.0431654676258993,0.0287769784172662,0
GSE288483,GSM8768682_Pt1-4,7,139,0.00590901275841585,0.0233528251609961,0.056575635988288,0.0863309352517986,0.107913669064748,0
