dataset,sample_id,TLS_decile,readout,value
GSE211956,GSM6506111_SP2,5,TLS/mregDC co-high fraction,0
GSE211956,GSM6506111_SP2,6,median mregDC score,-0.0177452871462317
GSE211956,GSM6506111_SP2,6,median MHC-II score,-0.0336718626460636
GSE211956,GSM6506111_SP2,6,mregDC-high fraction,0.0932642487046632
GSE211956,GSM6506111_SP2,6,MHC-II-high fraction,0.0880829015544041
GSE211956,GSM6506111_SP2,6,TLS/mregDC co-high fraction,0
GSE211956,GSM6506111_SP2,7,median mregDC score,-0.0393828870937088
GSE211956,GSM6506111_SP2,7,median MHC-II score,-0.0131744680533484
GSE211956,GSM6506111_SP2,7,mregDC-high fraction,0.119170984455959
GSE211956,GSM6506111_SP2,7,MHC-II-high fraction,0.0932642487046632
GSE211956,GSM6506111_SP2,7,TLS/mregDC co-high fraction,0
GSE211956,GSM6506111_SP2,8,median mregDC score,-0.0091196561431368
GSE211956,GSM6506111_SP2,8,median MHC-II score,0.127160715621067
GSE211956,GSM6506111_SP2,8,mregDC-high fraction,0.129533678756477
GSE211956,GSM6506111_SP2,8,MHC-II-high fraction,0.160621761658031
GSE211956,GSM6506111_SP2,8,TLS/mregDC co-high fraction,0
GSE211956,GSM6506111_SP2,9,median mregDC score,0.0662885156114722
GSE211956,GSM6506111_SP2,9,median MHC-II score,0.219862878289339
GSE211956,GSM6506111_SP2,9,mregDC-high fraction,0.170984455958549
GSE211956,GSM6506111_SP2,9,MHC-II-high fraction,0.176165803108808
GSE211956,GSM6506111_SP2,9,TLS/mregDC co-high fraction,0
GSE211956,GSM6506111_SP2,10,median mregDC score,0.144704187193425
GSE211956,GSM6506111_SP2,10,median MHC-II score,0.355898002866301
GSE211956,GSM6506111_SP2,10,mregDC-high fraction,0.264248704663212
GSE211956,GSM6506111_SP2,10,MHC-II-high fraction,0.33160621761658
GSE211956,GSM6506111_SP2,10,TLS/mregDC co-high fraction,0.264248704663212
GSE211956,GSM6506112_SP3,1,median mregDC score,-0.162544109983894
GSE211956,GSM6506112_SP3,1,median MHC-II score,-0.530383850799433
GSE211956,GSM6506112_SP3,1,mregDC-high fraction,0.0264900662251656
GSE211956,GSM6506112_SP3,1,MHC-II-high fraction,0
GSE211956,GSM6506112_SP3,1,TLS/mregDC co-high fraction,0
GSE211956,GSM6506112_SP3,2,median mregDC score,-0.0853473350634529
GSE211956,GSM6506112_SP3,2,median MHC-II score,-0.442970945801659
GSE211956,GSM6506112_SP3,2,mregDC-high fraction,0.0596026490066225
GSE211956,GSM6506112_SP3,2,MHC-II-high fraction,0
GSE211956,GSM6506112_SP3,2,TLS/mregDC co-high fraction,0
GSE211956,GSM6506112_SP3,3,median mregDC score,-0.0723001121364319
GSE211956,GSM6506112_SP3,3,median MHC-II score,-0.17093206606826
GSE211956,GSM6506112_SP3,3,mregDC-high fraction,0.033112582781457
GSE211956,GSM6506112_SP3,3,MHC-II-high fraction,0.0397350993377483
GSE211956,GSM6506112_SP3,3,TLS/mregDC co-high fraction,0
