field_id,grid_x,grid_y,x,y,TLS_grid_mean,n_cells,n_tls_high_cells,n_cohigh_cells
159,280,31,9830.470833778381,1123.8965606689453,0.5003663425536277,9,3,0
159,281,31,9865.470833778381,1123.8965606689453,0.2705001903440416,11,3,1
162,100,32,3530.4708337783813,1158.8965606689453,0.24036283230571842,4,2,0
151,112,32,3950.4708337783813,1158.8965606689453,0.35129022444687197,13,6,3
164,159,32,5595.470833778381,1158.8965606689453,0.3934287149807597,14,5,1
164,160,32,5630.470833778381,1158.8965606689453,0.2994099438882945,13,3,0
165,183,32,6435.470833778381,1158.8965606689453,0.3396546303501646,15,6,4
159,279,32,9795.470833778381,1158.8965606689453,0.20183032567658407,11,2,0
159,280,32,9830.470833778381,1158.8965606689453,0.2640758622539936,8,2,0
168,60,33,2130.4708337783813,1193.8965606689453,0.1521855016332773,3,1,0
162,101,33,3565.4708337783813,1193.8965606689453,0.16571939506515085,10,1,0
170,103,33,3635.4708337783813,1193.8965606689453,0.3436883124521814,14,5,0
170,104,33,3670.4708337783813,1193.8965606689453,0.24031906373989184,19,5,1
170,106,33,3740.4708337783813,1193.8965606689453,0.163143576135518,21,8,0
151,112,33,3950.4708337783813,1193.8965606689453,0.17637978282354413,17,7,1
171,123,33,4335.470833778381,1193.8965606689453,0.3711798418965697,10,5,0
172,125,33,4405.470833778381,1193.8965606689453,0.1673752397630135,14,4,0
172,126,33,4440.470833778381,1193.8965606689453,0.23316550654622512,22,8,1
173,146,33,5140.470833778381,1193.8965606689453,0.2252098371154851,8,3,1
174,150,33,5280.470833778381,1193.8965606689453,0.2729251362338317,17,7,1
164,159,33,5595.470833778381,1193.8965606689453,0.36839337054615706,10,3,1
165,182,33,6400.470833778381,1193.8965606689453,0.2062544155181229,14,2,1
159,276,33,9690.470833778381,1193.8965606689453,0.15105329145797125,13,3,0
159,279,33,9795.470833778381,1193.8965606689453,0.21175194200897735,14,5,0
159,280,33,9830.470833778381,1193.8965606689453,0.22120886583106775,16,4,0
168,61,34,2165.4708337783813,1228.8965606689453,0.20769485623627867,3,2,0
170,104,34,3670.4708337783813,1228.8965606689453,0.14557156837446264,17,5,0
170,105,34,3705.4708337783813,1228.8965606689453,0.25439028244684636,13,5,1
170,106,34,3740.4708337783813,1228.8965606689453,0.2671906283076398,13,5,0
170,107,34,3775.4708337783813,1228.8965606689453,0.39288474286075115,18,8,2
151,112,34,3950.4708337783813,1228.8965606689453,0.1964893505560603,11,4,0
151,113,34,3985.4708337783813,1228.8965606689453,0.26905382839644015,15,6,0
171,120,34,4230.470833778381,1228.8965606689453,0.1855759479652659,12,3,0
171,121,34,4265.470833778381,1228.8965606689453,0.17187915065013493,17,7,1
171,122,34,4300.470833778381,1228.8965606689453,0.21350195915114545,12,3,1
172,125,34,4405.470833778381,1228.8965606689453,0.16869870788318758,13,4,1
172,127,34,4475.470833778381,1228.8965606689453,0.3521937663305919,20,12,1
172,128,34,4510.470833778381,1228.8965606689453,0.24581164123887853,15,5,0
173,147,34,5175.470833778381,1228.8965606689453,0.23034922778380254,5,2,0
174,150,34,5280.470833778381,1228.8965606689453,0.22388154978679764,6,4,0
164,159,34,5595.470833778381,1228.8965606689453,0.17100323228529155,14,4,2
180,237,34,8325.470833778381,1228.8965606689453,0.623367285042158,3,1,0
159,275,34,9655.470833778381,1228.8965606689453,0.19938007862614393,9,3,0
159,277,34,9725.470833778381,1228.8965606689453,0.30346185946891313,11,1,0
159,278,34,9760.470833778381,1228.8965606689453,0.21224703596964778,14,5,0
181,59,35,2095.4708337783813,1263.8965606689453,0.19402454650680984,7,4,0
182,77,35,2725.4708337783813,1263.8965606689453,0.3539521983944644,7,4,0
170,108,35,3810.4708337783813,1263.8965606689453,0.5529418172651291,13,8,0
171,120,35,4230.470833778381,1263.8965606689453,0.19124871283501185,7,2,1
171,121,35,4265.470833778381,1263.8965606689453,0.2464197955119714,10,4,0
171,122,35,4300.470833778381,1263.8965606689453,0.17038936314989184,10,4,1
171,123,35,4335.470833778381,1263.8965606689453,0.17212122727426019,14,3,0
172,125,35,4405.470833778381,1263.8965606689453,0.20635946426201193,12,4,1
